순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,문상철,KT,0.364,33,12,2,0,2,9,1,0,7,1,2023,외야수,7
2,배정대,KT,0.355,31,11,3,0,0,7,2,0,5,0,2023,외야수,7
3,안치영,KT,0.333,9,3,0,0,0,1,2,0,5,0,2023,외야수,7
4,김민혁,KT,0.286,35,10,1,0,0,5,2,0,9,0,2023,외야수,7
4,정준영,KT,0.286,7,2,0,0,0,0,0,0,2,0,2023,외야수,7
6,알포드,KT,0.250,52,13,1,0,0,1,2,0,15,0,2023,외야수,7
7,조용호,KT,0.200,20,4,0,0,0,2,3,0,4,1,2023,외야수,7
8,홍현빈,KT,0.154,13,2,0,0,0,0,1,0,5,0,2023,외야수,7
9,송민섭,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,외야수,7
9,이시원,KT,0.000,3,0,0,0,0,0,0,0,0,0,2023,외야수,7
1,정준영,KT,0.500,6,3,1,0,0,1,1,0,2,1,2023,외야수,8
2,홍현빈,KT,0.444,9,4,0,0,0,1,1,0,1,1,2023,외야수,8
3,조용호,KT,0.350,20,7,1,0,0,2,2,0,3,0,2023,외야수,8
4,배정대,KT,0.294,34,10,1,0,0,2,8,0,8,0,2023,외야수,8
5,김민혁,KT,0.257,35,9,2,1,0,2,7,1,3,1,2023,외야수,8
6,알포드,KT,0.255,55,14,4,1,0,6,11,0,21,2,2023,외야수,8
7,안치영,KT,0.250,12,3,0,0,0,0,1,0,2,0,2023,외야수,8
8,송민섭,KT,0.222,9,2,0,0,0,0,1,1,3,0,2023,외야수,8
9,문상철,KT,0.167,48,8,2,0,0,8,1,1,16,0,2023,외야수,8
10,이시원,KT,0.000,7,0,0,0,0,0,0,0,1,0,2023,외야수,8
1,안치영,KT,0.500,10,5,0,0,0,0,1,0,3,0,2023,외야수,9
2,배정대,KT,0.360,25,9,2,0,0,3,2,0,5,0,2023,외야수,9
3,김민혁,KT,0.300,20,6,1,0,0,4,2,0,3,0,2023,외야수,9
4,정준영,KT,0.286,7,2,0,0,0,0,1,0,0,0,2023,외야수,9
5,조용호,KT,0.273,11,3,0,0,0,0,1,0,1,0,2023,외야수,9
6,문상철,KT,0.267,30,8,4,0,0,2,2,0,6,0,2023,외야수,9
7,알포드,KT,0.226,31,7,0,0,1,1,4,0,13,1,2023,외야수,9
8,홍현빈,KT,0.222,9,2,0,0,0,0,2,0,2,1,2023,외야수,9
9,이시원,KT,0.200,5,1,0,0,0,1,0,0,1,0,2023,외야수,9
10,송민섭,KT,0.000,9,0,0,0,0,0,0,0,3,0,2023,외야수,9
1,배정대,KT,0.500,4,2,1,0,0,0,2,0,2,0,2023,외야수,"10,11,12,13,15,16,17,18"
2,문상철,KT,0.429,7,3,1,0,1,2,0,0,3,0,2023,외야수,"10,11,12,13,15,16,17,18"
3,정준영,KT,0.333,3,1,0,0,0,0,0,0,1,0,2023,외야수,"10,11,12,13,15,16,17,18"
4,김민혁,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,외야수,"10,11,12,13,15,16,17,18"
4,안치영,KT,0.000,2,0,0,0,0,0,0,1,1,0,2023,외야수,"10,11,12,13,15,16,17,18"
4,알포드,KT,0.000,4,0,0,0,0,0,0,0,2,0,2023,외야수,"10,11,12,13,15,16,17,18"
4,조용호,KT,0.000,4,0,0,0,0,0,0,0,3,0,2023,외야수,"10,11,12,13,15,16,17,18"
4,홍현빈,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,외야수,"10,11,12,13,15,16,17,18"
1,김준태,KT,1.000,2,2,0,0,1,3,2,0,0,0,2023,포수,1
2,강현우,KT,0.500,4,2,1,0,0,2,0,0,0,0,2023,포수,1
3,장성우,KT,0.200,35,7,2,0,1,12,4,1,4,1,2023,포수,1
1,장성우,KT,0.344,61,21,3,0,1,5,8,0,15,0,2023,포수,2
2,김준태,KT,0.188,16,3,0,0,0,0,0,0,4,2,2023,포수,2
3,강현우,KT,0.077,13,1,0,0,0,1,1,0,1,0,2023,포수,2
1,김준태,KT,0.429,7,3,0,0,0,1,0,0,0,0,2023,포수,3
2,장성우,KT,0.310,42,13,3,0,2,11,5,0,8,0,2023,포수,3
3,강현우,KT,0.273,11,3,1,0,0,1,0,0,2,0,2023,포수,3
1,장성우,KT,0.281,57,16,7,0,4,10,2,0,14,0,2023,포수,4
2,강현우,KT,0.167,12,2,0,0,0,0,1,0,1,1,2023,포수,4
3,김준태,KT,0.111,9,1,0,0,0,2,4,0,2,0,2023,포수,4
1,강현우,KT,0.333,9,3,1,0,0,1,0,0,1,0,2023,포수,5
2,장성우,KT,0.295,44,13,1,0,1,8,5,0,7,5,2023,포수,5
3,김준태,KT,0.000,13,0,0,0,0,1,1,1,4,0,2023,포수,5
1,장성우,KT,0.333,45,15,1,0,1,8,5,1,5,1,2023,포수,6
2,김준태,KT,0.300,10,3,1,0,0,3,4,0,1,1,2023,포수,6
3,강현우,KT,0.000,13,0,0,0,0,1,2,0,2,1,2023,포수,6
1,장성우,KT,0.277,47,13,2,0,0,5,4,0,7,3,2023,포수,7
2,김준태,KT,0.143,14,2,0,0,0,2,2,0,7,0,2023,포수,7
3,강현우,KT,0.100,10,1,1,0,0,0,0,1,2,0,2023,포수,7
1,강현우,KT,0.313,16,5,2,0,1,3,1,0,4,0,2023,포수,8
2,장성우,KT,0.200,45,9,1,0,1,3,4,0,7,2,2023,포수,8
3,김준태,KT,0.053,19,1,1,0,0,4,3,0,6,0,2023,포수,8
4,문상인,KT,-,0,0,0,0,0,0,1,0,0,0,2023,포수,8
1,김준태,KT,0.409,22,9,2,0,2,7,2,0,6,0,2023,포수,9
2,장성우,KT,0.357,28,10,2,0,0,2,3,0,2,0,2023,포수,9
3,강현우,KT,0.200,15,3,0,0,0,2,1,0,4,1,2023,포수,9
1,장성우,KT,0.167,6,1,0,0,0,1,2,0,1,0,2023,포수,"10,11,12,13,15,16,17,18"
2,김준태,KT,0.000,3,0,0,0,0,0,1,0,2,0,2023,포수,"10,11,12,13,15,16,17,18"
