선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
김민혁,두산,0.000,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.000,0.250,0.250,0,0.0,0.0,2021
남호,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
문원,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
박성재,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2021
박소준,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
박치국,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
백동훈,두산,0.000,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0,2021
서예일,두산,0.000,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2021
오명진,두산,0.000,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2021
윤명준,두산,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
이승진,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
홍건희,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
황경태,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2021
김성표,삼성,0.333,39,24,18,10,6,0,0,0,6,1,1,0,5,0,0,7,0,0.333,0.478,0.811,1,0.25,0.0,2021
구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12,48,3,6,98,9,0.519,0.361,0.880,45,0.283,0.0,2021
박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,9,7,69,2,3,82,3,0.377,0.383,0.760,36,0.327,0.0,2021
강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7,45,4,4,53,18,0.478,0.361,0.839,34,0.25,0.25,2021
피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,0,3,57,2,8,89,8,0.495,0.359,0.854,52,0.288,0.0,2021
오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,0,8,58,8,0,106,5,0.512,0.366,0.878,36,0.276,0.0,2021
김헌곤,삼성,0.281,118,364,317,38,89,8,2,4,113,27,3,5,34,0,5,46,9,0.356,0.355,0.711,24,0.217,0.25,2021
최영진,삼성,0.281,44,63,57,9,16,1,2,1,24,6,0,0,5,0,1,12,1,0.421,0.349,0.770,3,0.267,0.222,2021
