,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
91,오재원,두산,45,2,2,0,100,0,2,2021
92,김재호,두산,89,2,1,1,50.0,2,0,2021
93,안재석,두산,96,1,1,0,100,1,2,2021
94,국해성,두산,4,0,0,0,-,0,0,2021
95,권민석,두산,33,0,0,0,-,0,0,2021
96,권휘,두산,2,0,0,0,-,0,0,2021
97,김강률,두산,8,0,0,0,-,0,0,2021
98,김명신,두산,4,0,0,0,-,0,0,2021
99,김민규,두산,2,0,0,0,-,0,0,2021
100,김민혁,두산,6,0,0,0,-,0,0,2021
101,김인태,두산,133,2,0,2,0.0,4,1,2021
102,남호,두산,1,0,0,0,-,0,0,2021
103,문원,두산,1,0,0,0,-,0,0,2021
104,박성재,두산,1,0,0,0,-,0,0,2021
105,박소준,두산,1,0,0,0,-,0,0,2021
106,박치국,두산,1,0,0,0,-,0,0,2021
107,백동훈,두산,5,0,0,0,-,0,0,2021
108,서예일,두산,5,0,0,0,-,0,0,2021
109,신성현,두산,11,0,0,0,-,1,0,2021
110,오명진,두산,2,0,0,0,-,0,0,2021
111,윤명준,두산,4,0,0,0,-,0,0,2021
112,이교훈,두산,2,0,0,0,-,0,0,2021
113,이승진,두산,1,0,0,0,-,0,0,2021
114,이영하,두산,1,0,0,0,-,0,0,2021
115,장승현,두산,92,0,0,0,-,4,0,2021
116,전민재,두산,9,0,0,0,-,0,0,2021
117,최용제,두산,79,0,0,0,-,0,0,2021
118,페르난데스,두산,141,2,0,2,0.0,4,0,2021
119,홍건희,두산,1,0,0,0,-,0,0,2021
120,황경태,두산,1,0,0,0,-,0,0,2021
121,박해민,삼성,127,51,36,15,70.6,4,2,2021
122,구자욱,삼성,139,31,27,4,87.1,6,0,2021
123,김지찬,삼성,120,27,23,4,85.2,4,1,2021
124,피렐라,삼성,140,15,9,6,60.0,5,0,2021
125,김헌곤,삼성,118,9,5,4,55.6,0,1,2021
126,김상수,삼성,132,6,4,2,66.7,5,1,2021
127,강한울,삼성,124,4,2,2,50.0,4,0,2021
128,김동엽,삼성,69,3,2,1,66.7,2,0,2021
129,김성표,삼성,39,3,2,1,66.7,0,1,2021
130,이학주,삼성,66,4,2,2,50.0,2,0,2021
131,박승규,삼성,59,2,1,1,50.0,1,0,2021
132,오재일,삼성,120,1,1,0,100,3,1,2021
133,이원석,삼성,131,1,1,0,100,2,0,2021
134,최영진,삼성,44,1,1,0,100,1,0,2021
135,강민호,삼성,123,0,0,0,-,5,0,2021
136,권정웅,삼성,2,0,0,0,-,0,0,2021
137,김도환,삼성,25,1,0,1,0.0,0,0,2021
138,김민수,삼성,47,0,0,0,-,2,0,2021
139,김성윤,삼성,30,1,0,1,0.0,0,0,2021
140,김윤수,삼성,2,0,0,0,-,0,0,2021
141,김응민,삼성,1,0,0,0,-,0,0,2021
142,김현준,삼성,13,0,0,0,-,0,0,2021
143,김호재,삼성,87,0,0,0,-,0,0,2021
144,노건우,삼성,2,0,0,0,-,0,0,2021
145,문용익,삼성,1,0,0,0,-,0,0,2021
146,백승민,삼성,4,0,0,0,-,0,0,2021
147,송준석,삼성,19,0,0,0,-,0,0,2021
148,안주형,삼성,1,0,0,0,-,0,0,2021
149,오선진,삼성,23,0,0,0,-,0,0,2021
150,오승환,삼성,2,0,0,0,-,0,0,2021
