선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
김재율,LG,0.111,4,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.111,0.111,0.222,0,0.0,0.0,2019
윤진호,LG,0.102,106,62,59,6,6,2,0,1,11,5,2,0,1,0,0,13,0,0.186,0.117,0.303,0,0.188,0.0,2019
박지규,LG,0.091,10,18,11,2,1,0,0,0,1,1,1,0,4,0,2,7,0,0.091,0.412,0.503,0,0.0,0.0,2019
정상호,LG,0.083,22,24,24,1,2,1,0,0,3,2,0,0,0,0,0,11,3,0.125,0.083,0.208,1,0.25,0.0,2019
고우석,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
문광은,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
양원혁,LG,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
여건욱,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
이상영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
장원삼,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
전준호,LG,0.000,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2019
정우영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
정찬헌,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
최동환,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
최승민,NC,0.444,24,10,9,5,4,1,0,0,5,1,0,0,1,0,0,2,0,0.556,0.500,1.056,0,0.0,0.0,2019
나성범,NC,0.366,23,106,93,19,34,12,1,4,60,14,0,0,12,0,1,26,2,0.645,0.443,1.088,12,0.28,0.0,2019
양의지,NC,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,43,0.364,0.167,2019
박민우,NC,0.344,125,526,468,89,161,23,8,1,203,45,2,6,41,1,9,40,10,0.434,0.403,0.837,45,0.333,0.0,2019
모창민,NC,0.305,101,386,341,49,104,21,2,10,159,55,0,11,31,1,3,62,8,0.466,0.358,0.824,30,0.261,0.625,2019
이명기,NC,0.293,139,547,484,62,142,17,3,2,171,36,7,4,48,2,4,66,12,0.353,0.359,0.712,39,0.269,0.0,2019
이상호,NC,0.278,102,256,234,30,65,7,0,0,72,12,8,3,9,0,2,22,10,0.308,0.306,0.614,18,0.179,0.083,2019
김찬형,NC,0.277,76,154,141,16,39,4,2,1,50,12,2,1,6,0,4,21,1,0.355,0.322,0.677,10,0.143,0.167,2019
김태진,NC,0.275,123,399,374,44,103,14,5,5,142,46,5,3,16,0,1,67,3,0.380,0.305,0.685,28,0.296,0.111,2019
박석민,NC,0.267,112,444,360,49,96,17,1,19,172,74,4,3,65,2,12,69,17,0.478,0.393,0.871,20,0.28,0.333,2019
손시헌,NC,0.267,68,149,135,17,36,4,1,2,48,10,4,0,5,0,5,23,2,0.356,0.317,0.673,11,0.3,0.25,2019
노진혁,NC,0.264,110,390,348,51,92,23,2,13,158,43,6,3,31,2,2,80,7,0.454,0.326,0.780,23,0.241,0.0,2019
이원재,NC,0.258,94,285,256,31,66,11,0,8,101,36,5,3,20,0,1,47,5,0.395,0.311,0.706,16,0.279,0.182,2019
