선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
문경찬,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
이병헌,삼성,0.75,1,0,0,-,0,0.0,4.75,0.25,1.6,0.588
피렐라,삼성,0.342,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326
김재성,삼성,0.335,13,37,33,1.12,3,0.45,4.05,0.118,28.5,0.294
강한울,삼성,0.323,14,63,44,1.43,1,0.42,3.81,0.075,33.5,0.268
조민성,삼성,0.308,1,1,1,1.00,0,0.29,4.94,0.231,3.3,0.332
김태군,삼성,0.298,13,59,54,1.09,3,0.5,3.68,0.083,24.5,0.256
구자욱,삼성,0.293,31,102,105,0.97,2,0.32,3.79,0.108,54.6,0.253
김지찬,삼성,0.28,13,112,86,1.30,5,0.7,3.93,0.053,51.3,0.245
오선진,삼성,0.276,11,91,53,1.72,2,0.35,4.1,0.063,29.7,0.233
김현준,삼성,0.275,23,115,68,1.69,4,0.56,3.93,0.074,49.4,0.252
오재일,삼성,0.268,63,88,130,0.68,5,0.43,4.01,0.223,79.3,0.278
이원석,삼성,0.267,23,55,92,0.60,5,0.47,3.97,0.149,43.7,0.26
강민호,삼성,0.258,33,122,117,1.04,9,0.71,3.66,0.152,49.0,0.251
김상수,삼성,0.251,13,69,65,1.06,2,0.41,3.95,0.072,22.8,0.218
김동진,삼성,0.25,1,0,1,0.00,0,0.0,3.25,0.25,0.4,0.238
김재혁,삼성,0.242,1,8,9,0.89,0,0.44,4.15,0.03,4.7,0.218
이재현,삼성,0.235,11,58,74,0.78,2,0.11,3.61,0.109,18.2,0.2
이해승,삼성,0.232,3,25,22,1.14,2,0.03,3.44,0.03,5.3,0.174
김동엽,삼성,0.221,7,28,25,1.12,0,0.18,3.68,0.116,7.0,0.197
박승규,삼성,0.216,2,19,25,0.76,0,0.2,3.58,0.027,5.1,0.171
김헌곤,삼성,0.192,9,95,67,1.42,1,0.41,3.59,0.049,8.8,0.161
김성윤,삼성,0.19,4,16,8,2.00,0,0.5,3.61,0.143,5.7,0.215
최영진,삼성,0.188,6,32,13,2.46,1,0.4,3.92,0.125,6.7,0.203
이태훈,삼성,0.176,0,4,4,1.00,0,0.17,3.67,0.0,0.5,0.144
공민규,삼성,0.158,0,3,4,0.75,1,0.1,3.82,0.0,1.0,0.142
안주형,삼성,0.15,0,8,4,2.00,0,0.17,3.74,0.0,0.7,0.119
김호재,삼성,0.143,1,10,5,2.00,0,0.11,4.48,0.036,0.0,0.122
송준석,삼성,0.138,0,12,8,1.50,0,0.2,3.34,0.0,0.1,0.122
김영웅,삼성,0.133,1,3,3,1.00,1,0.0,4.73,0.2,0.7,0.143
김성표,삼성,0.118,0,5,5,1.00,0,0.2,3.56,0.0,0.3,0.105
이성규,삼성,0.074,0,10,7,1.43,0,0.63,3.91,0.000,0.7,0.138
김서준,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
박주혁,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
우규민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
윤정빈,삼성,0.000,0,1,4,0.25,0,0.00,3.70,0.000,-0.9,0.0
이상민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
홍정우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
이정후,키움,0.349,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333
김혜성,키움,0.318,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269
푸이그,키움,0.277,51,88,158,0.56,8,0.58,3.83,0.197,83.4,0.284
임지열,키움,0.275,7,23,31,0.74,0,0.23,4.11,0.069,15.7,0.235
김태진,키움,0.268,6,94,63,1.49,2,0.57,3.80,0.028,23.3,0.216
이지영,키움,0.267,19,158,106,1.49,6,0.45,3.37,0.064,36.4,0.219
이명기,키움,0.250,0,1,0,-,0,0.00,3.25,0.000,0.2,0.175
이재홍,키움,0.250,0,0,1,0.00,0,0.00,3.00,0.000,0.2,0.175
송성문,키움,0.247,38,156,198,0.79,11,0.69,3.57,0.124,63.4,0.229
김웅빈,키움,0.226,7,32,19,1.68,2,0.34,3.81,0.087,11.7,0.225
박주홍,키움,0.224,2,15,5,3.00,0,0.44,4.09,0.061,5.0,0.221
